Date,WIPRO.NS,BAJAJ-AUTO.NS,HDFCBANK.NS,HEROMOTOCO.NS,TCS.NS,INFY.NS,NESTLEIND.NS,MARUTI.NS,RELIANCE.NS,TATAMOTORS.NS,NSE Index
28-03-2018,195.398849,1733.357178,355.909332,1818.965454,902.472534,339.875885,4516.67041,1805.067993,430.064209,391.252625,6704.200195
31-03-2018,192.266418,1754.918945,357.748718,1836.362305,915.80304,341.980194,4574.986816,1842.778809,436.917786,392.582092,6721.049805
01-04-2018,198.584412,1739.421265,352.636688,1816.342529,934.499695,345.225128,4410.409668,1804.553955,442.48053,397.013611,6752.549805
02-04-2018,200.301102,1729.651367,349.67453,1816.302002,932.589478,346.069031,4426.512695,1806.750488,449.803558,407.796936,6736.100098
03-04-2018,198.549026,1729.440674,348.193481,1816.826416,930.120789,347.746155,4444.846191,1812.824951,447.198273,405.088776,6694.350098
04-04-2018,195.876694,1708.847656,346.592957,1817.068726,918.25,345.44397,4399.493164,1801.1427,443.255035,399.32785,6695.049805
07-04-2018,197.115524,1703.54126,346.545135,1807.744751,924.668335,343.084412,4473.54834,1780.348022,443.20813,397.850677,6796.200195
09-04-2018,196.248367,1710.869141,354.428284,1811.740479,918.915405,339.037292,4484.82959,1806.096069,451.657776,414.493439,6796.399902
10-04-2018,198.637527,1703.162476,353.257751,1781.993286,912.797607,333.479614,4440.841797,1831.75061,454.89679,424.242737,6776.299805
11-04-2018,201.079788,1690.865601,352.660553,1755.030518,929.090637,337.016266,4393.853027,1809.08667,447.7146,417.152313,6733.100098
15-04-2018,208.318085,1688.212524,345.876312,1792.406982,967.149841,339.584137,4397.628906,1801.1427,445.531799,405.679626,6675.299805
16-04-2018,202.49559,1684.969727,346.831818,1750.46936,942.91449,328.906464,4347.908691,1808.666138,441.870239,404.891846,6779.399902
17-04-2018,207.362427,1698.024658,343.368103,1791.196045,954.334473,332.526489,4333.443848,1823.713135,450.226074,422.568604,6817.649902
21-04-2018,193.328278,1696.424438,342.293091,1812.346069,953.840515,331.578491,4297.28125,1858.246338,450.460754,425.522949,6815.350098
22-04-2018,187.78891,1687.328125,347.596252,1829.662354,953.5401,328.213654,4296.599121,1846.376831,454.28656,422.273193,6840.799805
23-04-2018,185.718277,1688.422974,350.200043,1821.306641,950.40625,330.505493,4302.23877,1852.405029,454.004913,418.580261,
24-04-2018,185.718277,1688.422974,350.200043,1821.306641,950.40625,330.505493,4302.23877,1852.405029,454.004913,418.580261,6782.75
25-04-2018,183.789261,1681.179565,347.046844,1776.100098,946.756836,330.812836,4345.54248,1828.24585,445.132751,416.807648,6761.25
28-04-2018,187.452652,1671.872803,346.473511,1744.576416,940.789307,331.067993,4280.676758,1822.87207,443.607147,410.111145,6715.25
29-04-2018,185.753708,1633.550415,341.982544,1731.741089,942.034363,331.036743,4298.873535,1791.1427,441.400818,402.725311,6696.399902
30-04-2018,184.88652,1610.514404,344.610229,1776.261841,939.866211,331.354462,4338.493164,1797.217407,439.288422,408.437012,6694.799805
02-05-2018,187.063324,1605.92395,342.603577,1774.88916,948.130676,335.40686,4306.605469,1760.207642,435.673798,408.437012,6699.350098
05-05-2018,184.32016,1616.157593,342.412537,1782.518066,950.38446,330.948151,4284.907715,1773.712524,444.475586,408.141602,6715.299805
06-05-2018,182.231873,1600.575928,344.084686,1761.650146,944.030762,329.724152,4263.663574,1785.301514,452.2211,412.77005,6652.549805
07-05-2018,179.134811,1573.455322,341.886993,1742.275757,929.713135,319.536072,4258.661133,1758.198364,451.047546,410.35733,6659.850098
08-05-2018,180.85144,1582.804443,343.176941,1719.793457,928.210449,319.322479,4274.081055,1772.544189,450.789307,416.610718,6858.799805
09-05-2018,181.91333,1617.083862,361.570801,1790.025513,927.287415,324.130096,4350.411133,1845.675781,468.298889,420.99295,7014.25
12-05-2018,181.205399,1640.835571,378.459747,1858.96582,927.051208,330.760681,4404.723633,1915.817017,482.898071,438.423553,7108.75
13-05-2018,187.311066,1665.387329,376.548706,1960.842529,949.203979,340.151917,4433.745117,1953.621216,499.187073,434.238251,7108.75
14-05-2018,185.665192,1719.670898,370.481079,1962.456787,951.415161,338.990387,4344.31543,1948.807861,490.784363,435.616913,7123.149902
15-05-2018,182.815887,1642.815063,376.644226,1970.368164,941.562195,340.901947,4306.453125,1979.322632,494.492859,432.958008,7203
16-05-2018,177.966766,1626.980713,384.455658,1935.534546,927.652405,331.015961,4234.523926,2011.378906,511.238037,443.002777,7263.549805
19-05-2018,170.622284,1582.046265,387.895569,1976.503296,874.395081,314.087769,4194.006836,2069.790527,530.564941,437.635712,7275.5
20-05-2018,175.082031,1571.981567,389.878265,1907.159424,887.918762,325.249969,4175.809082,2050.491455,511.522217,433.154968,7252.899902
21-05-2018,174.533432,1651.78479,386.748901,1889.601196,894.208313,328.88562,4292.139648,2027.313354,510.835358,430.299133,7276.399902
22-05-2018,171.135513,1673.346802,383.452393,1865.019897,906.701416,324.385254,4329.45459,2116.660645,521.44635,424.242737,7367.100098
23-05-2018,173.436188,1664.50293,377.26535,1896.422729,913.549011,319.765198,4338.873535,2229.792725,534.070313,424.735107,7359.049805
26-05-2018,179.099426,1651.827026,380.848541,1857.068481,924.754517,322.400787,4338.278809,2188.156738,521.872559,437.291077,7318
27-05-2018,179.878098,1660.923218,384.551239,1868.168823,915.073181,326.484406,4332.930176,2151.473877,515.359192,429.954468,7329.649902
28-05-2018,182.01947,1641.046265,393.413757,1895.332642,923.273315,330.573181,4360.365723,2158.857178,515.809326,422.223969,7235.649902
29-05-2018,176.904892,1634.981934,387.107239,1892.709351,927.308777,308.839844,4375.272949,2155.025635,508.537994,417.841644,7229.950195
30-05-2018,179.170197,1637.298218,378.746399,1893.718384,919.323364,310.41333,4537.103516,2123.202637,504.345795,408.732483,7362.5
02-06-2018,176.657135,1662.944824,391.47876,1925.605225,914.386353,316.089569,4389.539551,2172.268555,512.635559,414.345703,7415.850098
03-06-2018,174.92276,1659.365356,393.843689,1987.239868,913.849609,318.629364,4398.777344,2183.997559,518.888367,414.493439,7402.25
04-06-2018,174.161774,1686.612061,390.188843,2051.659668,896.955811,315.176117,4362.058105,2216.895508,510.409088,415.625916,7474.100098
05-06-2018,177.311951,1685.264526,388.068878,2084.514893,903.352539,321.1586,4437.553711,2225.447021,516.282898,428.378815,7583.399902
06-06-2018,180.21434,1725.271362,392.790527,2165.685791,903.395996,317.13504,4500.521484,2235.587158,531.678223,432.416382,7654.600098
09-06-2018,181.134628,1820.740967,394.814117,2199.146484,916.204224,315.382019,4474.50293,2275.867432,531.796509,441.77179,7656.399902
10-06-2018,185.824478,1812.950073,393.465118,2152.002197,935.427368,324.749084,4540.944824,2303.111328,529.736023,446.498718,7626.850098
11-06-2018,186.780151,1836.828003,395.320007,2183.687256,956.579285,337.231567,4586.993164,2288.391846,522.062073,438.965179,7649.899902
12-06-2018,188.355225,1840.828979,404.642883,2193.858398,969.755859,335.29892,4570.895996,2318.579102,518.296143,442.707336,7542.100098
13-06-2018,187.735809,1828.279053,402.498932,2092.466553,959.439697,336.560944,4547.119141,2246.148193,512.493408,431.579315,7533.549805
16-06-2018,189.753311,1827.479004,404.233398,2108.046875,983.799194,342.596283,4578.257324,2225.400146,504.70105,424.291962,7631.700195
17-06-2018,189.753311,1819.56189,407.871002,2092.022461,988.176758,342.881409,4576.612305,2256.521973,516.354004,434.188995,7558.200195
